"Date / Time","Object Name","Object Value",
"10/19/2019 02:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 02:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 02:30:00 PM","OA-T.Trend - Present Value (Trend1)","67.28 ",
"10/19/2019 02:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 02:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2324 ",
"10/19/2019 02:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 02:20:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 02:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 02:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3708 ",
"10/19/2019 02:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 02:10:00 PM","OA-T.Trend - Present Value (Trend1)","66.38 ",
"10/19/2019 02:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 02:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2899 ",
"10/19/2019 02:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 02:00:00 PM","OA-T.Trend - Present Value (Trend1)","66.56 ",
"10/19/2019 02:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 02:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.4298 ",
"10/19/2019 02:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 01:50:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 01:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 01:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 01:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 01:40:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 01:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 01:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 01:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 01:30:00 PM","OA-T.Trend - Present Value (Trend1)","67.28 ",
